Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
air	samp_name	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	text	{text}	ISDsoil1		1	MIXS:0001107	sample name 
air	project_name	Name of the project within which the sequencing was organized.	text	{text}	Forest soil metagenome		1	MIXS:0000092	project name
air	alt	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	measurement value	{float} {unit}	100 meter	meter	1	MIXS:0000094	altitude
air	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	measurement value	{float} {unit}	100 meter	meter	1	MIXS:0000093	elevation
air	barometric_press	Force per unit area exerted against a surface by the weight of air above that surface	measurement value	{float} {unit}	5 millibar	millibar	1	MIXS:0000096	barometric pressure
air	carb_dioxide	Carbon dioxide (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	410 parts per million	micromole per liter, parts per million	1	MIXS:0000097	carbon dioxide
air	carb_monoxide	Carbon monoxide (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	0.1 parts per million	micromole per liter, parts per million	1	MIXS:0000098	carbon monoxide
air	chem_administration	List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z		m	MIXS:0000751	chemical administration
air	humidity	Amount of water vapour in the air, at the time of sampling	measurement value	{float} {unit}	25 gram per cubic meter	gram per cubic meter	1	MIXS:0000100	humidity
air	methane	Methane (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	1800 parts per billion	micromole per liter, parts per billion, parts per million	1	MIXS:0000101	methane
air	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	m	MIXS:0000103	organism count
air	oxygen	Oxygen (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	600 parts per million	milligram per liter, parts per million	1	MIXS:0000104	oxygen
air	oxy_stat_samp	Oxygenation status of sample	enumeration	[aerobic|anaerobic|other]	aerobic		1	MIXS:0000753	oxygenation status of sample
air	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	perturbation type name;perturbation interval and duration	{text};{Rn/start_time/end_time/duration}	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M		m	MIXS:0000754	perturbation
air	pollutants	Pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant	pollutant name;measurement value	{text};{float} {unit}	lead;0.15 microgram per cubic meter	gram, mole per liter, milligram per liter, microgram per cubic meter	m	MIXS:0000107	pollutants
air	air particulate matter concentration	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM	particulate matter name;measurement value	{text};{float} {unit}	PM2.5;10 microgram per cubic meter	microgram per cubic meter	m	MIXS:0000108	air_PM_concen
air	salinity	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	measurement value	{float} {unit}	25 practical salinity unit	practical salinity unit, percentage	1	MIXS:0000183	salinity
air	samp_store_dur	Duration for which the sample was stored	duration	{duration}	P1Y6M		1	MIXS:0000116	sample storage duration
air	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	location name	{text}	Freezer no:5		1	MIXS:0000755	sample storage location
air	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	measurement value	{float} {unit}	-80 degree Celsius	degree Celsius	1	MIXS:0000110	sample storage temperature
air	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	millliter, gram, milligram, square centimeter	1	MIXS:0000111	sample volume or weight for DNA extraction
air	solar_irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	measurement value	{float} {unit}	1.36 kilowatts per square meter per day	kilowatts per square meter per day, ergs per square centimeter per second	1	MIXS:0000112	solar irradiance
air	temp	Temperature of the sample at the time of sampling	measurement value	{float} {unit}	25 degree Celsius	degree Celsius	1	MIXS:0000113	temperature
air	ventilation_rate	Ventilation rate of the system in the sampled premises	measurement value	{float} {unit}	750 cubic meter per minute	cubic meter per minute, liters per second	1	MIXS:0000114	ventilation rate
air	ventilation_type	Ventilation system used in the sampled premises	ventilation type name	{text}	Operable windows		1	MIXS:0000756	ventilation type
air	volatile_org_comp	Concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	volatile organic compound name;measurement value	{text};{float} {unit}	formaldehyde;500 nanogram per liter	microgram per cubic meter, parts per million, nanogram per liter	m	MIXS:0000115	volatile organic compounds
air	wind_direction	Wind direction is the direction from which a wind originates	wind direction name	{text}	Northwest		1	MIXS:0000757	wind direction
air	wind_speed	Speed of wind measured at the time of sampling	measurement value	{float} {unit}	21 kilometer per hour	meter per second, kilometer per hour	1	MIXS:0000118	wind speed
air	misc_param	Any other measurement performed or parameter collected, that is not listed here	parameter name;measurement value	{text};{float} {unit}	Bicarbonate ion concentration;2075 micromole per kilogram		m	MIXS:0000752	miscellaneous parameter
built environment	samp_name	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.	text	{text}	ISDsoil1		1	MIXS:0001107	sample name 
built environment	project_name	Name of the project within which the sequencing was organized.	text	{text}	Forest soil metagenome		1	MIXS:0000092	project name
built environment	surf_material	Surface materials at the point of sampling	enumeration	[adobe|carpet|cinder blocks|concrete|hay bales|glass|metal|paint|plastic|stainless steel|stone|stucco|tile|vinyl|wood]	wood		1	MIXS:0000758	surface material
built environment	surf_air_cont	Contaminant identified on surface	enumeration	[dust|organic matter|particulate matter|volatile organic compounds|biological contaminants|radon|nutrients|biocides]	radon		m	MIXS:0000759	surface-air contaminant
built environment	rel_air_humidity	Partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air	measurement value	{float} {unit}	0.8	percentage	1	MIXS:0000121	relative air humidity
built environment	abs_air_humidity	Actual mass of water vapor - mh20 - present in the air water vapor mixture	measurement value	{float} {unit}	9 gram per gram	gram per gram, kilogram per kilogram, kilogram, pound	1	MIXS:0000122	absolute air humidity
built environment	surf_humidity	Surfaces: water activity as a function of air and material moisture	measurement value	{float} {unit}	0.1	percentage	1	MIXS:0000123	surface humidity
built environment	air_temp	Temperature of the air at the time of sampling	measurement value	{float} {unit}	20 degree Celsius	degree Celsius	1	MIXS:0000124	air temperature
built environment	surf_temp	Temperature of the surface at the time of sampling	measurement value	{float} {unit}	15 degree Celsius	degree Celsius	1	MIXS:0000125	surface temperature
built environment	surf_moisture_ph	ph measurement of surface	measurement value	{float}	7		1	MIXS:0000760	surface moisture pH
built environment	build_occup_type	The primary function for which a building or discrete part of a building is intended to be used	enumeration	[office|market|restaurant|residence|school|residential|commercial|low rise|high rise|wood framed|office|health care|school|airport|sports complex]	market		m	MIXS:0000761	building occupancy type
built environment	surf_moisture	Water held on a surface	measurement value	{float} {unit}	0.01 gram per square meter	parts per million, gram per cubic meter, gram per square meter	1	MIXS:0000128	surface moisture
built environment	dew_point	The temperature to which a given parcel of humid air must be cooled, at constant barometric pressure, for water vapor to condense into water.	measurement value	{float} {unit}	22 degree Celsius	degree Celsius	1	MIXS:0000129	dew point
built environment	carb_dioxide	Carbon dioxide (gas) amount or concentration at the time of sampling	measurement value	{float} {unit}	410 parts per million	micromole per liter, parts per million	1	MIXS:0000097	carbon dioxide
built environment	ventilation_type	Ventilation system used in the sampled premises	ventilation type name	{text}	Operable windows		1	MIXS:0000756	ventilation type
built environment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	m	MIXS:0000103	organism count
built environment	indoor_space	A distinguishable space within a structure, the purpose for which discrete areas of a building is used	enumeration	[bedroom|office|bathroom|foyer|kitchen|locker room|hallway|elevator]	foyer		1	MIXS:0000763	indoor space
built environment	indoor_surf	Type of indoor surface	enumeration	[cabinet|ceiling|counter top|door|shelving|vent cover|window|wall]	wall		1	MIXS:0000764	indoor surface
built environment	filter_type	A device which removes solid particulates or airborne molecular contaminants	enumeration	[particulate air filter|chemical air filter|low-MERV pleated media|HEPA|electrostatic|gas-phase or ultraviolet air treatments]	HEPA		m	MIXS:0000765	filter type
built environment	heat_cool_type	Methods of conditioning or heating a room or building	enumeration	[radiant system|heat pump|forced air system|steam forced heat|wood stove]	heat pump		m	MIXS:0000766	heating and cooling system type
built environment	substructure_type	The substructure or under building is that largely hidden section of the building which is built off the foundations to the ground floor level	enumeration	[crawlspace|slab on grade|basement]	basement		m	MIXS:0000767	substructure type
