class	slot	recommended	required	slot_uri	checklist	slot notes	instance notes	scn token inconsistencies	sheet	MIXS ID	Environmental package	Structured comment name	Item (rdfs:label) / Package item	Definition	Expected value	Value syntax	Example	Section	Requirement	migs_eu	migs_ba	migs_pl	migs_vi	migs_org	mims	mimarks_s	mimarks_c	misag	mimag	miuvig	Preferred unit	Occurence/Occurrence
> class	slot	recommended	required	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore	ignore
HostAssociated	alt	TRUE		MIXS:0000094					environmental_packages	MIXS:0000094	host-associated	alt	altitude	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth’s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	measurement value	{float} {unit}	100 meter		C												meter	1
MiscellaneousNaturalOrArtificialEnvironment	alt	TRUE		MIXS:0000094					environmental_packages	MIXS:0000094	miscellaneous natural or artificial environment	alt	altitude	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth’s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	measurement value	{float} {unit}	100 meter		C												meter	1
SymbiontAssociated	alt	TRUE		MIXS:0000094					environmental_packages	MIXS:0000094	symbiont-associated	alt	altitude	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air.	measurement value	{float} {unit}	100 meter		C												meter	1
HydrocarbonResourcesCores	ammonium	TRUE		MIXS:0000427					environmental_packages	MIXS:0000427	hydrocarbon resources-cores	ammonium	ammonium	Concentration of ammonium in the sample	measurement value	{float} {unit}	1.5 milligram per liter		C												micromole per liter, milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	ammonium	TRUE		MIXS:0000427					environmental_packages	MIXS:0000427	hydrocarbon resources-fluids/swabs	ammonium	ammonium	Concentration of ammonium in the sample	measurement value	{float} {unit}	1.5 milligram per liter		C												micromole per liter, milligram per liter, parts per million	1
Agriculture	annot	TRUE		MIXS:0000059					environmental_packages	MIXS:0000059	agriculture	annot	annotation	Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter	annotation source description	{text}			C													1
HydrocarbonResourcesCores	aromatics_pc	TRUE		MIXS:0000133					environmental_packages	MIXS:0000133	hydrocarbon resources-cores	aromatics_pc	aromatics wt%	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	name;measurement value	{text};{float} {unit}			C												percent	1
HydrocarbonResourcesFluidsSwabs	aromatics_pc	TRUE		MIXS:0000133					environmental_packages	MIXS:0000133	hydrocarbon resources-fluids/swabs	aromatics_pc	aromatics wt%	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	name;measurement value	{text};{float} {unit}			C												percent	1
HydrocarbonResourcesCores	asphaltenes_pc	TRUE		MIXS:0000135					environmental_packages	MIXS:0000135	hydrocarbon resources-cores	asphaltenes_pc	asphaltenes wt%	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	name;measurement value	{text};{float} {unit}			C												percent	1
HydrocarbonResourcesFluidsSwabs	asphaltenes_pc	TRUE		MIXS:0000135					environmental_packages	MIXS:0000135	hydrocarbon resources-fluids/swabs	asphaltenes_pc	asphaltenes wt%	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	name;measurement value	{text};{float} {unit}			C												percent	1
HydrocarbonResourcesCores	benzene	TRUE		MIXS:0000153					environmental_packages	MIXS:0000153	hydrocarbon resources-cores	benzene	benzene	Concentration of benzene in the sample	measurement value	{float} {unit}			C												milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	benzene	TRUE		MIXS:0000153					environmental_packages	MIXS:0000153	hydrocarbon resources-fluids/swabs	benzene	benzene	Concentration of benzene in the sample	measurement value	{float} {unit}			C												milligram per liter, parts per million	1
HydrocarbonResourcesFluidsSwabs	biocide	TRUE		MIXS:0001011					environmental_packages	MIXS:0001011	hydrocarbon resources-fluids/swabs	biocide	biocide administration	List of biocides (commercial name of product and supplier) and date of administration	name;name;timestamp	{text};{text};{timestamp}	ALPHA 1427;Baker Hughes;2008-01-23		C													1
