MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0001081	tillage	history/tillage	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	1		Note method(s) used for tilling
MIXS:0001081	tillage	history/tillage	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	m		Note method(s) used for tilling
MIXS:0000103	organism_count	organism count	organism name;measurement value;enumeration	{text};{float} {unit};[ATP|MPN|qPCR|other]	1	colony forming units per milliliter;colony forming units per gram of dry weight	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes;3.5e7 cells per ml;qPCR).
MIXS:0000332	soil_type	soil type	ENVO_00001998	{termLabel} {[termID]}	m		Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998). Multiple terms can be separated by pipes.
MIXS:0000183	salinity	salinity	measurement value	{float} {unit}	1	practical salinity unit, percentage	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.
MIXS:0000018	depth	depth	measurement value	{float} {unit}	1	meter	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.
MIXS:0000103	organism_count	organism count	organism name;measurement value;enumeration	{text};{float} {unit};[qPCR|ATP|MPN|other]	m	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes;3.5e7 cells per ml;qPCR).
MIXS:0001107	samp_name	sample name 	text	{text}	1		A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.
MIXS:0000204	org_matter	organic matter	measurement value	{float} {unit}	1	microgram per liter	Concentration of organic matter
MIXS:0000031	host_disease_stat	host disease status	disease name or Disease Ontology term	{termLabel} {[termID]}|{text}	m		List of diseases with which the host has been diagnosed;can include multiple diagnoses. The value of the field depends on host;for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text.
